n,min,max,mean,exp,chbshv,kurt
10.0,4.0,9.0,5.522,1.5220000000000002,4.615297442770359,0.034582872479056004
40.0,7.0,23.0,12.255125,4.744875,11.295648438522944,0.39108191693608996
70.0,9.0,31.0,16.011142857142858,6.011142857142858,14.58212671316987,0.35752720137130023
100.0,10.0,36.0,19.0949,7.905100000000001,17.53879301043869,0.7083559295758186
130.0,11.0,38.0,21.721923076923076,8.278076923076924,18.969763317978735,0.04502154474544584
160.0,12.0,46.0,23.5585625,9.4414375,21.22605682217924,0.5235723360344422
190.0,13.0,51.0,25.7825,10.217500000000001,23.989714219348432,0.3991628567147898
310.0,15.0,59.0,31.753564516129032,12.753564516129032,29.673588442850008,0.3163399465893604
220.0,14.0,49.0,27.222454545454546,10.777545454545454,24.322269944434325,0.22162044308047957
250.0,14.0,64.0,29.02062,11.979379999999999,28.38761725556178,0.8439160226950069
340.0,17.0,66.0,32.527926470588234,11.527926470588234,27.924456687517914,0.4974873553781105
280.0,15.0,61.0,30.645803571428573,12.354196428571427,28.963767136283654,0.2220812872825042
580.0,20.0,78.0,41.791370689655174,15.791370689655174,36.618190803194764,0.38981457987510515
370.0,16.0,69.0,34.02666216216216,12.973337837837839,30.47313759983254,0.5745612145227312
400.0,17.0,69.0,35.001575,13.998424999999997,32.25307665400962,0.6449320419141422
430.0,18.0,71.0,36.065593023255815,14.065593023255815,33.198970628264384,0.5239800196252116
610.0,21.0,79.0,41.74199180327869,16.258008196721313,38.65557111811094,0.3760745543192132
850.0,26.0,93.0,48.6652,17.6652,41.34847604848558,0.3621558828634024
460.0,19.0,72.0,36.91633695652174,14.08366304347826,32.469978644259946,0.6521934817573167
490.0,19.0,75.0,38.76204081632653,14.762040816326532,34.555351915600966,0.4176369248508096
640.0,20.0,84.0,42.3750078125,16.3750078125,37.66312266232013,0.6831030963085376
1120.0,25.0,99.0,53.68295089285714,20.682950892857143,48.28523053414157,0.3917925071274655
520.0,20.0,80.0,40.41228846153846,16.58771153846154,39.8368964178213,0.532861610694694
670.0,23.0,91.0,43.124395522388056,15.124395522388056,36.323183295717094,1.0545968191204995
880.0,23.0,108.0,49.159448863636364,18.840551136363636,43.966212541217935,1.0181673849231352
550.0,20.0,80.0,40.91319090909091,15.913190909090908,37.30524126968614,0.23703935463760128
700.0,21.0,88.0,44.41827142857143,17.58172857142857,41.55662438054029,0.12069117163412857
1390.0,28.0,106.0,58.33034892086331,20.669651079136692,49.27651253286995,0.01728560371254817
910.0,25.0,105.0,49.280087912087915,18.719912087912085,44.07871005026483,0.8970848500578534
730.0,21.0,86.0,45.76958904109589,16.76958904109589,39.40678374962129,0.006805927349163188
1150.0,27.0,111.0,54.34777826086957,20.347778260869568,48.0727004821347,0.6119513283330771
1660.0,30.0,127.0,62.91124096385542,23.08875903614458,55.237693940454335,0.31000693502799637
760.0,23.0,103.0,46.517144736842106,18.482855263157894,43.35659257604888,0.6307252162829005
940.0,25.0,94.0,50.65652659574468,19.34347340425532,44.06367608630469,0.05323769523427124
790.0,23.0,90.0,46.667670886075946,18.332329113924054,42.76598599526661,0.2262937826336886
1180.0,27.0,115.0,54.404978813559325,20.404978813559325,47.27835254810747,0.7140354580611596
1930.0,31.0,128.0,67.19211917098445,24.807880829015545,57.56657084507681,0.35148078283651296
1420.0,28.0,109.0,59.01273943661972,22.987260563380282,52.59970695921753,0.21350501724071735
970.0,23.0,121.0,50.666422680412374,19.333577319587626,46.81758246646541,1.7208724709768068
820.0,22.0,101.0,47.160304878048784,17.839695121951216,42.015603736637445,0.9106060962820788
1000.0,24.0,117.0,51.270055,19.729945,47.97667573672204,1.0991896562734693
2200.0,37.0,158.0,71.02513636363636,26.025136363636364,63.201825245274904,0.8961603844106669
1210.0,27.0,108.0,55.45771487603306,20.54228512396694,49.29849444787125,0.4749664952827506
1690.0,31.0,126.0,63.329476331360944,23.670523668639056,55.87214462589491,0.5216714609204178
1030.0,24.0,104.0,52.625747572815534,21.374252427184466,49.4721015912593,0.4399936111304399
1450.0,30.0,125.0,59.389806896551725,23.389806896551725,53.866587269972975,0.9036505206853458
2470.0,32.0,139.0,73.56144736842106,29.438552631578943,67.77620724902326,0.27631342477168985
1240.0,28.0,103.0,56.02815322580645,20.97184677419355,49.51319473211811,0.12638004453758134
1060.0,26.0,96.0,52.46458490566038,19.53541509433962,45.71309893178755,0.17203439722685943
1960.0,32.0,131.0,67.43240561224489,25.567594387755108,59.69289907245559,0.605013328699584
1090.0,24.0,103.0,53.208275229357795,20.791724770642205,48.91199838791697,0.20491993185660196
2740.0,35.0,148.0,75.68047262773723,28.68047262773723,68.15296922776164,0.3591895329169179
1480.0,28.0,113.0,59.88237162162162,23.882371621621623,54.070384932229366,0.20073387426726574
1270.0,26.0,121.0,56.380818897637795,21.619181102362205,51.429052420182394,0.9763202606187789
1720.0,31.0,123.0,63.31375581395349,24.31375581395349,55.93873733962415,0.6228332627191553
1300.0,29.0,107.0,56.50065,21.49935,49.81781576665767,0.3119506723661605
2230.0,34.0,138.0,69.89789686098655,26.89789686098655,62.81458147775813,0.3259769917484383
1510.0,28.0,121.0,60.59931125827815,22.59931125827815,53.33195783578439,0.383558752970496
1330.0,27.0,106.0,57.59412030075188,21.405879699248118,48.84630560847117,0.03978588278446482
1990.0,34.0,131.0,67.42157788944724,25.578422110552765,58.88292773244157,0.27095017508105634
1750.0,31.0,133.0,63.02932285714286,23.02932285714286,56.32514621659898,1.4436023225646517
1540.0,29.0,117.0,61.16389935064935,22.836100649350648,53.32494809416823,0.1856238883687964
2500.0,35.0,166.0,73.353382,27.646618000000004,66.17715453291326,1.498481607083881
1360.0,28.0,117.0,58.144805147058825,21.855194852941175,50.23734970209946,0.31226161343625103
1780.0,32.0,134.0,63.79750842696629,22.79750842696629,53.822463478360106,0.981664354326854
1570.0,30.0,128.0,61.77965605095542,23.779656050955417,55.05945854982148,0.6914699259936752
2260.0,31.0,147.0,71.23717035398231,28.762829646017693,66.87119162547754,0.7952961710711426
2020.0,33.0,125.0,67.86015594059405,25.139844059405945,59.42511920014342,0.2707721869798636
2770.0,38.0,155.0,76.84321480144405,29.15678519855595,68.01719736651538,0.4348640251912741
1600.0,30.0,123.0,60.4559,21.5441,51.28379444460174,0.7045971973080554
1810.0,31.0,141.0,65.40080386740331,24.59919613259669,58.806945543354395,0.4280078510026013
2530.0,36.0,157.0,74.63414229249013,29.365857707509875,68.86267025170147,0.5019598010690931
2050.0,30.0,127.0,66.92723414634146,25.927234146341462,59.10518683635031,0.24376059940977424
1630.0,32.0,114.0,62.70543251533742,23.29456748466258,53.89593654943521,0.06568085723927242
2290.0,33.0,131.0,70.36836026200874,27.368360262008736,62.19416585981916,0.2342072335543124
1840.0,32.0,127.0,65.56122282608696,25.43877717391304,59.82617102556065,0.3135396957935921
2800.0,37.0,146.0,77.67533392857143,29.324666071428567,67.68929266972427,-0.07522386566069406
2080.0,31.0,139.0,68.11245913461538,24.112459134615378,57.53523558332285,0.7082001735131098
1870.0,31.0,129.0,65.11160160427808,23.88839839572192,55.11875403371781,0.5417666439213975
2320.0,37.0,128.0,71.20977370689656,26.790226293103444,61.72220341765991,0.09261823699788474
2560.0,36.0,149.0,75.556875,30.443124999999995,69.63309710502553,0.7856944763889921
1900.0,32.0,129.0,65.37350263157894,24.626497368421056,57.71880746617679,0.5423180253563809
2110.0,35.0,134.0,69.00320379146919,24.99679620853081,58.5138047720168,0.6485086041362056
2350.0,34.0,144.0,72.59249361702128,26.592493617021276,62.781095606600154,0.5454228727703265
2830.0,34.0,156.0,76.7151554770318,29.2848445229682,67.46873491281688,0.8328065264828646
2590.0,37.0,138.0,74.09965057915058,27.900349420849423,64.41579778371268,0.37477457214168997
2140.0,35.0,125.0,68.04051869158879,25.040518691588787,58.50227507783927,0.27152287809057407
2380.0,37.0,141.0,72.52003361344538,26.520033613445378,62.40687505569409,0.4439649371980221
2170.0,31.0,133.0,68.24115207373272,24.75884792626728,57.589108212901266,0.24350100596667046
2620.0,36.0,165.0,75.83189694656488,29.168103053435118,68.44025049973719,0.6950931304660104
2860.0,38.0,146.0,77.01861013986014,27.018610139860144,63.522198269786315,0.40078518057357027
2410.0,34.0,150.0,72.01205601659751,27.987943983402488,66.37263384247525,0.8599248973628066
2650.0,34.0,154.0,76.42376981132075,28.576230188679247,67.1451942875732,0.5347532283287104
2890.0,36.0,156.0,78.00256920415225,29.997430795847748,70.4500336676632,0.5083650295437967
2440.0,34.0,167.0,73.9368381147541,27.936838114754096,66.14173024204365,1.2561981413314243
2680.0,39.0,158.0,75.36042723880597,27.63957276119403,64.72084656359962,0.6201904471465927
2920.0,39.0,139.0,78.45542123287672,29.455421232876716,67.40997869346465,-0.09746795323091684
2710.0,38.0,152.0,77.23931365313653,28.239313653136534,66.49859477688352,0.337899289533913
2950.0,37.0,159.0,77.3635406779661,30.6364593220339,71.12101323215097,0.3957989024492381
2980.0,38.0,149.0,78.66077516778523,29.339224832214768,68.54754709512095,0.2541833534706295
