n,min,max,mean,exp,chbshv,kurt,time,expT,minD,maxD,depth
20.0,5.0,14.0,8.393,2.6069999999999993,7.1619720371462785,-0.09367401008203435,7.640285000000005e-5,6.550285000000004e-5,4.0,15.0,8.655
60.0,8.0,32.0,15.029583333333333,5.970416666666667,14.171011419731691,0.9049028118968248,4.239510833333334e-5,1.0204891666666656e-5,7.0,33.0,15.253166666666667
100.0,10.0,35.0,18.94555,7.054449999999999,16.78373583679843,0.22576517823028208,7.224712e-5,1.3047119999999994e-5,10.0,35.0,19.14055
140.0,12.0,49.0,22.61542857142857,8.61542857142857,20.800421831824227,1.171375116466118,0.00010368289285714285,1.7982892857142853e-5,11.0,49.0,22.715857142857143
180.0,12.0,45.0,25.058083333333332,9.941916666666668,22.964657828515765,0.07651422016717335,0.00013699065555555556,2.489065555555556e-5,10.0,45.0,25.13352777777778
220.0,13.0,53.0,27.185386363636365,10.814613636363635,24.81883084703344,0.04033132282143592,0.00016818831363636362,2.828831363636361e-5,13.0,53.0,27.334454545454545
260.0,14.0,57.0,29.08525,11.085249999999998,26.593582566546488,0.27337089850639984,0.00019159608653846152,2.909608653846153e-5,14.0,57.0,29.251096153846152
300.0,17.0,58.0,31.86863333333333,11.868633333333332,27.821558007462674,0.17519617690253275,0.00022421011833333334,3.221011833333333e-5,16.0,58.0,31.979033333333334
340.0,16.0,66.0,33.04160294117647,13.041602941176471,30.906134288958416,0.5241363709655458,0.00025516396029411764,3.7363960294117636e-5,15.0,64.0,33.187029411764705
380.0,16.0,68.0,34.635723684210525,13.364276315789475,31.521904212616594,0.3400577968211982,0.000290251627631579,4.4051627631578954e-5,16.0,68.0,34.85128947368421
420.0,17.0,75.0,35.732773809523806,13.267226190476194,31.488698466233334,0.4677350918054035,0.0003207067511904762,4.7806751190476206e-5,17.0,75.0,35.92595238095238
460.0,19.0,78.0,37.706206521739134,14.293793478260866,33.78339289071226,0.7284212698122494,0.0003485875902173913,4.7687590217391324e-5,18.0,78.0,37.868065217391305
500.0,20.0,75.0,38.54878,14.45122,33.670618457899955,0.41742987663701836,0.000380303902,5.399609799999999e-5,19.0,75.0,38.67735
540.0,20.0,79.0,40.499722222222225,15.500277777777775,36.56115837065376,0.401684811461954,0.00041682431574074084,5.997568425925915e-5,20.0,79.0,40.63582407407407
580.0,19.0,72.0,40.64123275862069,15.358767241379311,34.94053378231651,-0.01006004846421149,0.00044218717931034487,5.851282068965511e-5,19.0,72.0,40.76478448275862
620.0,21.0,76.0,42.39206451612903,15.607935483870968,37.18770291404932,0.09664925194639062,0.00047402662822580645,6.367337177419356e-5,20.0,75.0,42.56832258064516
660.0,21.0,82.0,43.29899242424242,16.70100757575758,38.71236118914823,0.3269807487359553,0.0005047777818181819,6.762221818181814e-5,21.0,83.0,43.44836363636364
700.0,23.0,86.0,44.89025,16.10975,38.77571749186661,0.2879322251080936,0.0005386581142857143,7.125811428571429e-5,22.0,85.0,45.08529285714286
740.0,22.0,81.0,46.37360810810811,17.373608108108108,40.19371083315351,-0.013422589716508782,0.0005750948101351351,7.479481013513518e-5,21.0,81.0,46.45939864864865
780.0,21.0,89.0,45.75728846153846,18.242711538461542,42.361489129365424,0.5358003324381015,0.0006012788044871795,7.787880448717943e-5,21.0,90.0,45.88094871794872
820.0,24.0,98.0,48.194408536585364,19.194408536585364,44.44875023236601,0.4734786931406427,0.0006321486548780488,7.694865487804878e-5,23.0,96.0,48.34818292682927
860.0,25.0,90.0,48.491761627906975,17.508238372093025,42.17046145141541,0.22449258656888116,0.0006633516180232558,7.835161802325578e-5,24.0,90.0,48.592343023255815
900.0,24.0,93.0,49.78103333333333,18.781033333333333,43.685379029318575,0.022884505100037256,0.0006931751611111111,8.262483888888891e-5,24.0,93.0,49.923972222222226
940.0,24.0,92.0,50.40384042553192,18.403840425531918,42.728615298332286,0.14416978068741582,0.0007216860893617021,8.478608936170206e-5,23.0,92.0,50.57892021276596
980.0,26.0,104.0,51.86413775510204,20.135862244897957,47.14088766172326,0.7083982455961322,0.0007564225056122449,8.792250561224482e-5,25.0,104.0,51.94855102040816
1020.0,26.0,103.0,51.65628921568627,19.34371078431373,45.83667946537274,0.09879262304591885,0.0007858027137254901,9.060271372549012e-5,25.0,104.0,51.7625294117647
1060.0,26.0,101.0,52.66506132075472,20.665061320754717,48.21399060893456,0.6932044049568105,0.0008199442084905661,9.634420849056612e-5,25.0,100.0,52.81628773584906
1100.0,26.0,95.0,53.019009090909094,19.980990909090906,46.52512003142303,-0.02988842170626116,0.0008499518568181819,9.654814318181808e-5,26.0,95.0,53.21903181818182
1140.0,26.0,98.0,54.391359649122805,21.391359649122805,48.78559787139941,0.07145563977178604,0.0008850046732456141,0.00010120467324561413,25.0,98.0,54.63953947368421
1180.0,27.0,99.0,54.58807627118644,20.588076271186438,48.25214288742124,0.18166654905583046,0.0009122323618644067,0.00010273236186440673,27.0,98.0,54.723444915254234
1220.0,25.0,98.0,55.40329918032787,20.59670081967213,48.61325335933282,0.013376246702856864,0.0009887418598360656,0.0001412418598360657,25.0,98.0,55.55788524590164
1260.0,29.0,106.0,56.422984126984126,21.577015873015874,50.173966521005475,0.4018764824952936,0.000995052811904762,0.00012354718809523806,28.0,107.0,56.57039682539683
1300.0,27.0,118.0,57.04130769230769,21.04130769230769,51.084422461026016,1.1782096753401987,0.0010122956476923079,0.00011450435230769222,26.0,117.0,57.22141923076923
1340.0,28.0,109.0,57.31489925373134,22.31489925373134,52.45657001938853,0.6573510522197452,0.001042802187313433,0.00011699781268656689,26.0,109.0,57.481414179104476
