n,min,max,mean,exp,chbshv,kurt,time,expT,minD,maxD,depth
20.0,5.0,16.0,8.3565,3.6434999999999995,7.769062631172665,0.7238313264493006,0.00010053405000000003,8.963405000000002e-5,5.0,16.0,8.5925
60.0,8.0,29.0,14.962666666666667,6.037333333333333,14.121804488264894,1.07102642587562,6.029208333333335e-5,2.489208333333335e-5,7.0,29.0,15.1285
100.0,11.0,38.0,19.2588,7.258800000000001,17.467540258899348,1.1388760338231894,7.240507e-5,1.300507e-5,10.0,38.0,19.5099
140.0,12.0,42.0,22.529642857142857,8.529642857142857,20.28371160956913,0.19810229309011218,0.00010207615,1.7576150000000006e-5,11.0,41.0,22.700857142857142
180.0,13.0,46.0,25.488833333333332,9.511166666666668,22.64291379407337,0.2078155708426901,0.00013265297222222222,2.2647027777777788e-5,12.0,46.0,25.602833333333333
220.0,14.0,50.0,27.209863636363636,10.790136363636364,24.501467037436726,0.6626595884132231,0.00016290829545454542,2.5408295454545417e-5,14.0,50.0,27.36009090909091
260.0,14.0,54.0,29.70023076923077,11.700230769230771,27.226269301517615,0.24425095768635785,0.00019652321923076924,2.9323219230769244e-5,13.0,54.0,29.8565
300.0,15.0,55.0,30.842933333333335,11.842933333333335,27.346557291871946,0.11307951055264276,0.00022142986,3.3470140000000026e-5,15.0,55.0,30.909466666666667
340.0,17.0,62.0,32.92208823529412,12.077911764705881,29.678875964913466,-0.014533455372502058,0.00025235091176470587,3.715091176470587e-5,17.0,62.0,33.11858823529412
380.0,18.0,61.0,34.87531578947368,12.875315789473682,29.936125463805304,-0.012006266005412769,0.0002854487657894737,3.9348765789473693e-5,18.0,60.0,35.004105263157896
420.0,18.0,65.0,36.24104761904762,14.75895238095238,34.730376054452925,0.0021729341097538324,0.0003132862261904762,4.418622619047622e-5,18.0,65.0,36.332880952380954
460.0,18.0,67.0,37.315260869565215,13.315260869565215,31.273026208720104,0.20839132797229176,0.0003467443239130434,4.7344323913043414e-5,18.0,67.0,37.49619565217391
500.0,20.0,71.0,38.82728,13.827280000000002,32.12088403291262,0.1508101424551085,0.000381408708,5.180870800000002e-5,20.0,72.0,39.05624
540.0,20.0,72.0,39.23248148148148,14.767518518518521,35.22860517109586,0.05880619430815859,0.00040864544814814816,5.804544814814815e-5,19.0,72.0,39.5132037037037
580.0,20.0,75.0,40.154172413793106,15.845827586206894,37.819092534855386,0.17213002309230419,0.00044000909827586205,6.290909827586205e-5,19.0,74.0,40.36870689655172
620.0,22.0,78.0,42.63267741935484,15.632677419354842,37.07408154703627,0.3326908314453636,0.0004785786145161291,6.637861451612908e-5,22.0,78.0,42.84517741935484
660.0,22.0,80.0,43.478257575757574,15.478257575757574,36.026697574320494,-0.033819550987848945,0.0005051204924242424,6.657950757575756e-5,22.0,80.0,43.54604545454546
700.0,23.0,84.0,45.70614285714286,16.293857142857142,38.70135563634444,0.08317208741114968,0.0005376965914285714,7.06965914285714e-5,23.0,84.0,45.828942857142856
740.0,25.0,86.0,46.01209459459459,17.012094594594593,40.33089321018236,0.24703868776637394,0.0005721661878378378,7.55338121621622e-5,24.0,86.0,46.142337837837836
780.0,22.0,82.0,46.5655,17.4345,39.844758818670456,-0.0023644817575148025,0.0006017678346153846,7.816783461538459e-5,22.0,82.0,46.78974358974359
820.0,25.0,89.0,46.724914634146344,16.724914634146344,39.55485887561258,0.3662262517848731,0.0006356673560975611,8.396735609756106e-5,24.0,89.0,46.863414634146345
860.0,24.0,97.0,48.82896511627907,19.171034883720928,44.38198287257214,0.43355371326518544,0.0007516850430232558,0.0001660850430232558,24.0,97.0,48.99043023255814
900.0,25.0,93.0,50.23351111111111,18.233511111111113,43.185568011529845,0.12480390650200501,0.0007618923099999999,0.00014509230999999983,24.0,91.0,50.312044444444446
940.0,24.0,86.0,49.55367021276596,17.553670212765958,41.87181781172238,0.013697370883261062,0.0007937943489361702,0.00015199434893617024,24.0,87.0,49.77920212765957
980.0,26.0,101.0,51.378602040816325,19.378602040816325,45.933112908153696,1.0864615667453528,0.0008000872612244898,0.0001292872612244898,25.0,101.0,51.51127551020408
1020.0,26.0,104.0,51.09214705882353,18.907852941176472,44.0073161074153,0.719127628248597,0.0008208016725490197,0.0001226016725490198,25.0,104.0,51.220137254901964
1060.0,26.0,96.0,53.46377358490566,20.53622641509434,48.181960465200476,0.06765747738222094,0.0008744920518867924,0.0001466920518867924,26.0,96.0,53.60994339622641
1100.0,25.0,92.0,52.863572727272725,19.863572727272725,45.66911412903085,-0.048269224735196126,0.0008980947772727273,0.00014339477727272733,25.0,92.0,53.04122727272727
1140.0,27.0,99.0,55.00467543859649,20.004675438596493,47.349278150258826,0.275287846608562,0.000926306950877193,0.00014030695087719294,27.0,100.0,55.15188596491228
1180.0,27.0,100.0,54.70244915254237,22.29755084745763,50.48456909198606,0.21623132049483118,0.0009726840610169492,0.00016358406101694924,26.0,100.0,54.85514406779661
