n,min,max,mean,exp,chbshv,kurt,minT,maxT,time,experimentT,minD,maxD,depth
20.0,5.0,14.0,8.269,2.731,6.795510205934426,0.1424734985265479,1.03e-5,0.1942766,0.00020773440000000014,0.00019633440000000013,4.0,14.0,8.467
60.0,8.0,27.0,15.269,6.269,14.469827410918459,-0.21635691875450735,3.43e-5,0.065192,6.456126666666665e-5,2.8761266666666645e-5,8.0,27.0,15.495333333333333
100.0,10.0,33.0,18.9686,7.031400000000001,16.942540858388025,-0.015796861839107113,5.77e-5,0.0042483,7.299437999999999e-5,1.3394379999999987e-5,10.0,33.0,19.152
140.0,12.0,36.0,22.331285714285713,8.331285714285713,18.652624820974122,-0.19982302078825143,8.38e-5,0.0041122,0.0001031007,1.6699300000000005e-5,12.0,37.0,22.568428571428573
180.0,14.0,48.0,25.674,10.326,24.235826775204508,0.2793638798423701,0.000108,0.0037151,0.00013209704444444443,2.1202955555555585e-5,13.0,49.0,25.827222222222222
220.0,14.0,55.0,27.015727272727272,10.984272727272728,25.832947469904582,0.6183538203823731,0.0001287,0.0041538,0.0001622816090909091,2.791839090909089e-5,12.0,55.0,27.134818181818183
260.0,16.0,49.0,28.323076923076922,10.323076923076922,24.03983785345541,0.2436697441283946,0.0001613,0.0038155,0.00018816077692307694,2.5060776923076933e-5,15.0,49.0,28.55623076923077
300.0,17.0,54.0,32.64093333333334,13.359066666666664,30.28865435687035,-0.315254326722779,0.0001871,0.0047833,0.00022795408666666667,3.595408666666667e-5,16.0,55.0,32.96893333333333
340.0,17.0,60.0,33.292941176470585,13.707058823529415,30.673732714319897,0.3648633880980241,0.0002087,0.0047538,0.0002526478117647059,3.454781176470592e-5,17.0,60.0,33.448235294117644
380.0,18.0,63.0,34.741263157894736,13.258736842105264,30.876284834676493,0.3489897965032833,0.0002358,0.0058823,0.00028304207368421054,4.044207368421055e-5,17.0,64.0,34.86784210526316
420.0,17.0,66.0,36.627809523809525,14.372190476190475,32.877101662733246,-0.0008749604784368259,0.0002589,0.0059097,0.0003176950857142857,4.7895085714285714e-5,16.0,66.0,36.754
460.0,19.0,65.0,36.60091304347826,14.399086956521742,33.69188443088738,0.07713275282767462,0.0002884,0.0617198,0.0003503446695652174,5.2144669565217406e-5,18.0,65.0,36.87839130434783
500.0,20.0,64.0,37.57248,14.427520000000001,32.30300098051099,0.04302819620267506,0.0003137,0.0062245,0.000378310732,5.281073199999998e-5,19.0,64.0,37.68328
