n,minC,maxC,meanC,expC,chbshvC,kurtC,minT,maxT,meanT,expT,minD,maxD,meanD,minCX,maxCX,meanCX
10.0,6.0,17.0,9.792,3.792,8.784753376839435,0.13368407081019118,7.1e-6,8.37e-5,9.214400000000001e-6,6.5856e-6,0.00023713355669219386,0.22954401825453322,0.07045325958080544,2.0,13.0,5.792
30.0,20.0,43.0,29.588,6.411999999999999,14.852127985770448,0.0750754264121527,2.28e-5,0.0050686,3.3362500000000005e-5,1.3937499999999993e-5,0.00010746440529062597,0.06833634623128743,0.01881897018674644,6.0,29.0,15.588
50.0,40.0,66.0,52.288,8.287999999999997,18.97422307081745,-0.14369835505109396,4.66e-5,0.0040964,5.516239999999999e-5,8.537600000000011e-6,0.00019846306084446842,0.03851408591739139,0.010348003797856697,22.0,48.0,34.288
70.0,59.0,93.0,71.976,9.975999999999999,22.40648411800768,0.112288296929274,6.39e-5,0.0037131,7.737179999999998e-5,1.2771799999999978e-5,5.9804156651120215e-5,0.027206315711565347,0.007099955397501117,27.0,61.0,39.976
90.0,81.0,115.0,96.419,11.581000000000003,25.443981138496703,0.14008581918505492,9.24e-5,0.0031828,0.00011159419999999999,1.7594199999999995e-5,0.00015530218124744984,0.017784881024962836,0.005265355261878392,49.0,83.0,64.419
110.0,93.0,137.0,116.732,11.268,26.318361958453576,0.2935279471365728,0.0001102,0.0032597,0.00012809209999999999,1.6092099999999988e-5,6.714173385839193e-5,0.01384637310462132,0.004090768485656254,47.0,91.0,70.732
130.0,117.0,155.0,134.284,12.716000000000008,29.325874017442125,-0.1464944907452912,0.0001247,0.0040441,0.0001497406,2.1740600000000007e-5,3.425506991561075e-5,0.011865973023633123,0.0033979757854306885,53.0,91.0,70.284
150.0,141.0,183.0,160.424,13.575999999999993,31.428525772492616,-0.10721780072368947,0.0001497,0.0035333,0.0001897631,3.47631e-5,8.826639932411202e-5,0.00980786675003361,0.002903267244652647,77.0,119.0,96.424
170.0,162.0,213.0,185.157,14.84299999999999,33.75717059480202,0.31192935504132047,0.0001794,0.0036081,0.00022175610000000002,4.005610000000002e-5,6.790829744193179e-5,0.008125423587344836,0.002559764025859965,98.0,149.0,121.157
190.0,187.0,234.0,209.688,16.312000000000012,36.560494933599976,-0.2618680780064264,0.0002098,0.003387,0.00025203860000000004,3.9538600000000055e-5,4.1748990725206864e-5,0.007167980093005032,0.002270230335794229,123.0,170.0,145.688
210.0,204.0,258.0,228.541,16.540999999999997,38.2359564855957,-0.05056647264002567,0.0002289,0.0035305,0.0002729573,4.225729999999999e-5,7.619505545618432e-5,0.006592787509735095,0.0020003552551824517,122.0,176.0,146.541
230.0,220.0,283.0,247.249,16.248999999999995,37.604708403258414,0.002760337543910474,0.0002417,0.003246,0.0002833123,3.9887699999999974e-5,3.2583498652400556e-5,0.0058469329593172845,0.0017722249478177368,118.0,181.0,145.249
250.0,239.0,293.0,264.723,17.276999999999987,38.91683363198937,0.07608353409536672,0.0002511,0.003293,0.00030041899999999996,4.6118999999999956e-5,1.924200548397611e-5,0.005684876330332694,0.0016019299135388797,117.0,171.0,142.723
270.0,257.0,319.0,288.908,19.091999999999985,42.60711309260562,0.03559493977959871,0.0002856,0.0050122,0.00036253230000000004,7.623230000000002e-5,2.308630053920868e-5,0.005359002380860297,0.001493852892263949,129.0,191.0,160.908
290.0,284.0,342.0,313.637,18.363,42.71731954827444,-0.09245640826356238,0.0003214,0.0037157,0.00039291019999999996,6.701019999999996e-5,1.3773516658639243e-5,0.00492313667592345,0.0013180192139915275,156.0,214.0,185.637
310.0,306.0,372.0,338.638,19.637999999999977,44.685746451591655,0.05079907354673363,0.0003537,0.0038013,0.0004249918999999999,6.689189999999995e-5,3.36932321890572e-5,0.004585197934450695,0.0012763712399260446,178.0,244.0,210.638
330.0,336.0,399.0,364.093,21.093000000000018,47.36845776242658,-0.041221732283351464,0.0003789,0.0037783,0.00045521029999999994,7.391029999999994e-5,7.128738952349996e-6,0.004677586243647942,0.0012003160832770965,208.0,271.0,236.093
350.0,359.0,424.0,389.394,19.605999999999995,47.25683536260641,-0.2301985702735534,0.0004069,0.0037806,0.0004953766,7.917660000000007e-5,1.832057635903428e-5,0.004965481881955193,0.0010665766566317876,231.0,296.0,261.394
370.0,382.0,450.0,414.585,20.58499999999998,48.90528833599927,-0.1800287473570914,0.000441,0.003799,0.0005277410999999998,7.874109999999977e-5,3.3499889774549306e-5,0.003765669593108524,0.0010379449966327675,254.0,322.0,286.585
390.0,402.0,479.0,437.547,23.547000000000025,54.329987737598174,0.12880985884882534,0.0004676,0.0035736,0.0005570982000000001,8.469820000000009e-5,4.030575492984071e-5,0.0033693007663305823,0.0009732747924181958,268.0,345.0,303.547
410.0,426.0,495.0,456.405,21.404999999999973,49.68831279514758,0.03816021347997145,0.0004862,0.0046059,0.0005827651,8.826509999999995e-5,9.039187718243842e-6,0.0031471393203220104,0.0009043902840816109,272.0,341.0,302.405
430.0,435.0,512.0,475.831,22.168999999999983,50.12505662142738,0.0707875935820641,0.0005082,0.0045846,0.0006033655000000001,9.336550000000005e-5,1.7129432063788774e-5,0.0029746827899990017,0.0008678815712790057,261.0,338.0,301.831
450.0,455.0,547.0,493.331,22.331000000000017,54.02988069585207,0.3607177137641595,0.0005228,0.0037025,0.0006226686000000001,9.226860000000016e-5,6.1864931295601115e-6,0.0031992430505509875,0.0008428891490445046,261.0,353.0,299.331
470.0,476.0,549.0,512.794,22.793999999999983,52.73188724037794,-0.1964909234804577,0.0005321,0.0038364,0.0006427796999999999,0.0001021796999999999,1.2403908233054233e-5,0.0024383057958551166,0.0007710809207287811,262.0,335.0,298.794
490.0,501.0,570.0,531.476,23.524,54.765936381913406,-0.26481651840266895,0.0005564,0.0038768,0.0006530551000000001,9.295510000000007e-5,3.778397117044855e-5,0.0028930065171316895,0.0007458021135896207,267.0,336.0,297.476
510.0,511.0,588.0,550.081,24.081000000000017,55.23748690843891,-0.012312597377277523,0.0005606,0.0051922,0.0006918788999999999,0.00012037889999999996,1.0270149901286386e-5,0.002229051447638682,0.0007199075145065429,257.0,334.0,296.081
530.0,529.0,618.0,574.791,26.208999999999946,59.086356949617205,0.10268642101232661,0.0006129,0.0040085,0.0007265171000000001,0.00010541710000000015,3.206241078943075e-6,0.002256615649595899,0.000700271153065171,273.0,362.0,318.791
550.0,556.0,637.0,599.963,24.037000000000035,55.99578687855137,0.0870878988287811,0.000652,0.0043376,0.0007698095,0.00011280950000000002,1.2993425495412705e-5,0.0025402842267232065,0.0006902028408762226,300.0,381.0,343.963
