n,minC,maxC,meanC,expC,chbshvC,kurtC,minT,maxT,meanT,expT,minD,maxD,meanD,minCX,maxCX,meanCX
10.0,6.0,19.0,10.1,3.9000000000000004,9.13692965297881,0.733605921018524,6.8e-6,0.2295,0.00023732659999999999,0.00023022659999999998,0.002290511386775899,0.22053497999634425,0.0743744770742714,2.0,25.0,13.174
30.0,20.0,45.0,30.326,7.3260000000000005,16.43120398706268,0.15842419649272355,2.22e-5,0.0050454,3.74357e-5,1.4435699999999998e-5,0.00014438952311157603,0.08508169387807017,0.024251416752848996,24.0,82.0,49.136
50.0,40.0,75.0,53.342,8.658000000000001,20.570947568935274,0.4151582009094601,4.47e-5,0.0047656,5.59429e-5,1.1457099999999996e-5,0.00013150545336087802,0.04324686534830597,0.013895610647842461,71.0,160.0,101.729
70.0,58.0,94.0,73.649,10.649000000000001,24.71774558787568,0.07594648111470681,6.14e-5,0.0030867,7.702969999999999e-5,1.392969999999999e-5,0.0005480196228015419,0.029419188803977727,0.010134502571039669,80.0,194.0,142.507
90.0,81.0,122.0,98.313,11.686999999999998,27.11449457053949,0.33389849782299486,9.24e-5,0.0028205,0.0001084253,1.4325300000000003e-5,0.0001190513236470258,0.024511024609981388,0.007819987586983495,159.0,277.0,208.417
110.0,94.0,140.0,118.414,12.414000000000001,28.015655568930683,0.30095251649414934,0.0001066,0.0030154,0.00013088849999999996,2.0388499999999962e-5,0.0001369783785752804,0.018193428405847086,0.0063078837657707925,169.0,325.0,251.471
130.0,113.0,158.0,137.196,13.804000000000002,30.90674533021727,-0.012021753437298166,0.0001211,0.0029272,0.0001469531,2.4753100000000005e-5,4.4891544451590434e-5,0.015344526169596957,0.005590795671065177,205.0,363.0,288.088
150.0,141.0,192.0,163.154,14.153999999999996,32.75299128993318,0.44497305148743704,0.0001532,0.0031686,0.00018931180000000003,3.311180000000003e-5,0.00025455615991081513,0.01709815387933587,0.004798091104191644,285.0,449.0,365.295
170.0,159.0,222.0,187.688,15.687999999999988,36.289530860153725,0.23469570110596294,0.000181,0.0031085,0.0002180142,3.4714199999999994e-5,0.00010361792924125558,0.013161952396382256,0.0041669013563494775,333.0,542.0,434.797
190.0,186.0,236.0,212.572,17.572000000000003,39.0561352632554,-0.1286842578751406,0.0002116,0.0035034,0.00026675509999999996,5.7044900000000054e-5,7.274433569947387e-5,0.011256146121236158,0.0037267632843885337,399.0,615.0,505.223
210.0,205.0,264.0,232.834,17.165999999999997,39.73547266345006,0.051077376176879685,0.0002285,0.0037321,0.0002746871,4.2487099999999995e-5,9.224699451011299e-5,0.009130829561102756,0.0034204427335439427,447.0,657.0,552.703
230.0,225.0,285.0,251.082,18.081999999999994,41.756545943470094,-0.06189347646528853,0.0002405,0.0041015,0.0003039134999999999,5.64134999999999e-5,0.0001343724025546578,0.008642534268774179,0.003087268381145583,484.0,729.0,591.457
250.0,245.0,299.0,269.644,19.355999999999995,42.78897260014753,-0.12075514883988347,0.0002534,0.0034252,0.000310227,4.992700000000001e-5,7.324952873085717e-6,0.008094102626414214,0.002882946967660142,519.0,736.0,629.06
270.0,261.0,324.0,293.145,18.855000000000018,42.43913972479391,0.10762027063848212,0.0002877,0.0037446,0.00034595000000000003,5.4650000000000054e-5,3.7293340837464464e-5,0.009225477352583318,0.002643850083272539,570.0,820.0,696.905
290.0,288.0,348.0,318.062,18.937999999999988,44.06705146733809,-0.18928742721707792,0.000316,0.0038589,0.000391573,7.167299999999996e-5,4.108545362942966e-5,0.0068433517036223185,0.002435734430707188,642.0,897.0,777.596
310.0,307.0,377.0,343.056,20.055999999999983,45.68965774466717,0.0859325442497445,0.0003489,0.0041704,0.00043752639999999996,7.982639999999994e-5,7.264939478078132e-5,0.006464652087078315,0.002188630137602278,735.0,1001.0,856.527
330.0,337.0,407.0,368.956,19.043999999999983,45.74203333492744,0.10146202770733792,0.0003794,0.0039679,0.0004563098,7.160979999999999e-5,5.402522663670465e-5,0.0060764471852745045,0.0021757951379128486,812.0,1059.0,938.651
350.0,363.0,433.0,395.467,22.466999999999985,50.24124204677272,-0.10384300536993418,0.0004156,0.0039502,0.0004931236,7.352360000000002e-5,6.576347695643478e-5,0.006463177138360957,0.0019203293875161523,838.0,1172.0,1015.381
370.0,386.0,454.0,420.565,21.564999999999998,50.67586746710453,-0.13349727539510248,0.00044,0.0037748,0.0005300708000000001,8.527080000000003e-5,0.0001310899050412617,0.006538961103499215,0.0018716985214988328,954.0,1245.0,1092.963
390.0,413.0,484.0,443.903,23.09699999999998,51.58578208104353,-0.05104443723897045,0.0004699,0.0033953,0.0005619084999999999,8.539150000000004e-5,2.8893064937440912e-5,0.00509125916313884,0.0017915482798700774,973.0,1310.0,1160.095
410.0,429.0,497.0,462.925,22.92500000000001,50.77012019982919,-0.06156504048140343,0.0004837,0.0037621,0.0005799575999999999,8.985759999999982e-5,7.535860973979435e-5,0.005056221036009474,0.001699949716025732,1078.0,1360.0,1207.081
430.0,447.0,519.0,482.234,22.76600000000002,51.96195651555977,-0.2425833466223808,0.0005024,0.0042302,0.0006114425,0.00010284249999999997,6.062933277274473e-5,0.005044729219824861,0.0016287986451586644,1097.0,1422.0,1255.653
450.0,466.0,544.0,500.956,23.043999999999983,52.229581744536404,0.025766610638255028,0.0005258,0.0039213,0.0006241769999999998,9.357699999999985e-5,0.00011431424455362758,0.005201267945656272,0.0016097496245202991,1150.0,1466.0,1302.612
470.0,482.0,560.0,520.844,23.15599999999995,54.1576063570606,-0.0329731543879479,0.000542,0.003931,0.000650029,0.000101829,3.5615087459449847e-6,0.004525993165249329,0.0015401539392342137,1197.0,1552.0,1349.887
490.0,502.0,579.0,540.102,23.101999999999975,54.38482903926084,0.007448074861808873,0.0005591,0.0044633,0.0006708011999999999,0.0001063011999999999,4.6399772213824414e-5,0.004874052194659059,0.0014649018145609172,1241.0,1591.0,1395.851
510.0,522.0,599.0,558.391,24.609000000000037,55.72923943611761,-0.15666425183807542,0.0005614,0.0042754,0.0006784534,0.0001072534,4.2764071955356806e-5,0.004187289613051613,0.001368850816905819,1258.0,1614.0,1434.981
530.0,538.0,633.0,584.714,25.714000000000055,58.90665560082386,0.12149273666370819,0.0006165,0.0040578,0.0007465863,0.00012248629999999999,5.103990526725519e-5,0.004070741161750537,0.001337383827317231,1336.0,1718.0,1523.965
550.0,571.0,656.0,609.182,26.182000000000016,59.81601353714132,0.12069987706767193,0.0006437,0.0048356,0.0007841194999999997,0.00013021949999999973,2.5715139850522388e-5,0.004966876406438746,0.0012366124199450434,1379.0,1811.0,1608.012
570.0,583.0,672.0,634.93,25.92999999999995,58.72163340907872,0.06956867113822618,0.0006944,0.0041691,0.0008359569999999998,0.00013715699999999984,4.2291858390473026e-5,0.004146571799715942,0.0012318266107111022,1448.0,1899.0,1698.456
590.0,621.0,720.0,660.898,25.898000000000025,61.439455781498644,0.03180637248366125,0.0007271,0.004093,0.0008795557000000001,0.0001443442999999998,4.522727845150338e-5,0.0034269035433643178,0.0011750893366245293,1586.0,2017.0,1788.588
610.0,638.0,730.0,686.317,27.682999999999993,63.827299364332724,0.09653603982263803,0.0007467,0.004248,0.0009094810000000001,0.0001499810000000001,3.784698197339998e-5,0.0034231407021478337,0.0011430726161189679,1628.0,2068.0,1873.148
630.0,672.0,763.0,712.073,27.07299999999998,63.15839138548734,0.07012735055061725,0.0007823,0.0043719,0.0009529615000000001,0.00016146150000000007,2.900906061042647e-5,0.0033698762499609933,0.0011333416999043987,1746.0,2223.0,1962.383
650.0,697.0,783.0,736.585,26.585000000000036,61.659528034176525,-0.19139941905566316,0.0008155,0.0044952,0.0009806711999999999,0.00015177119999999983,4.472376899576537e-5,0.003401453499804836,0.0010634525626866864,1841.0,2272.0,2040.357
670.0,719.0,808.0,763.206,27.206000000000017,62.89122821655328,-0.11797193500497771,0.0008521,0.004475,0.0010253344,0.00016043440000000002,4.7371644390711544e-5,0.003346217327836506,0.00104960936499367,1885.0,2383.0,2129.984
690.0,744.0,834.0,788.992,28.008000000000038,64.68154622782625,-0.22622044126219576,0.0008857,0.0039751,0.0010466591000000002,0.0001428591000000002,2.5460264435942886e-5,0.0029384363206274243,0.001007339601434142,2004.0,2480.0,2209.941
710.0,768.0,859.0,814.295,29.29499999999996,67.40907567593166,-0.2746322811687003,0.0009252,0.0044267,0.0011033044,0.0001639044,4.7917175601628875e-5,0.0029870516594771995,0.000995391881403624,2032.0,2506.0,2294.472
730.0,795.0,891.0,840.452,31.451999999999998,68.74445228321862,0.18501660182959156,0.0009473,0.0040229,0.0011239917999999998,0.00015879179999999976,1.940720727249298e-5,0.0033101615915298995,0.0009839640225552538,2157.0,2648.0,2375.749
750.0,821.0,916.0,866.575,29.575000000000045,67.89209701310482,0.010218840022198972,0.0009931,0.004322,0.0011730964,0.0001740963999999998,3.770723283395625e-5,0.0030644447830050323,0.0009319651511467605,2190.0,2702.0,2458.467
770.0,836.0,939.0,890.991,30.990999999999985,70.80474342649433,0.07253331634597826,0.0010063,0.0042623,0.0011928191000000002,0.00017561910000000016,8.972086036010529e-5,0.0032370861269270363,0.0009417277417538994,2285.0,2806.0,2537.544
790.0,866.0,965.0,911.014,31.98599999999999,71.34540101678766,-0.05426833249055374,0.0010603,0.0053173,0.0012389517,0.00017415170000000002,4.099239285451624e-5,0.0023070095378721904,0.0008887359675473866,2363.0,2931.0,2592.282
810.0,888.0,978.0,930.665,30.335000000000036,68.99315586024137,-0.2234261951590466,0.0010783,0.0053376,0.0012500715000000001,0.00017067150000000001,2.1968825329088733e-5,0.00314289739228723,0.0008849002475164427,2399.0,2957.0,2650.638
830.0,900.0,999.0,948.755,31.245000000000005,71.97805457457392,-0.22352062489035207,0.001079,0.0071167,0.0013414407,0.0008949593,3.070689099736966e-5,0.0025456975124833574,0.000886636238366246,2425.0,2974.0,2702.916
850.0,921.0,1025.0,968.102,30.101999999999975,71.43062546453206,-0.06461743688115051,0.0010936,0.0049606,0.0013214965,0.0002202965,3.496522993336658e-5,0.002075080940479798,0.0008142983846352012,2452.0,3035.0,2751.039
870.0,941.0,1044.0,987.921,32.07899999999995,73.68829720617205,-0.04093339651392247,0.0011157,0.0047832,0.0013455165,0.0002175164999999998,1.8028633099165812e-5,0.002615808512486868,0.000808783468589753,2535.0,3102.0,2809.713
890.0,958.0,1060.0,1006.177,31.82299999999998,72.73351073324856,0.08570519830094847,0.0011466,0.0053568,0.0013651563,0.00021065630000000014,5.107356488785654e-5,0.002564626605873169,0.0007987646006664772,2563.0,3140.0,2859.955
910.0,967.0,1084.0,1026.75,31.25,72.77448815433968,0.01158184586961708,0.0011688,0.0047126,0.0013681417000000003,0.00019454170000000035,1.2323398133701394e-5,0.002204341037029768,0.0007884600180329825,2593.0,3226.0,2915.49
930.0,1000.0,1105.0,1045.787,31.787000000000035,73.74843355252675,0.04750925234383763,0.0011798,0.0050666,0.0014052543,0.00022834570000000005,1.948400060054882e-5,0.002669707593798652,0.000766547203385474,2720.0,3254.0,2967.71
950.0,1018.0,1120.0,1066.546,30.45399999999995,72.75308028317902,-0.0732236947502467,0.0011915,0.0045722,0.001412525,0.00023027500000000005,9.222906665361848e-6,0.0021467039109041015,0.0007394489244394008,2758.0,3338.0,3020.383
970.0,1041.0,1142.0,1085.672,31.672000000000025,72.07581593879631,-0.0350499743372894,0.0012056,0.0048603,0.0014339393,0.00022583930000000013,3.748442482941805e-5,0.002227279167256558,0.0007260369031377016,2773.0,3351.0,3072.977
990.0,1048.0,1157.0,1105.418,33.58200000000011,75.80086603259417,0.005893542590649226,0.0012171,0.0050764,0.0014436720000000002,0.00022297200000000032,3.247583839586213e-5,0.002249555559938128,0.0007169046462082268,2838.0,3408.0,3122.152
1010.0,1073.0,1182.0,1124.511,31.489000000000033,72.18149172570311,0.1444057754341883,0.0012378,0.0053071,0.0014751546,0.00022515459999999997,1.7607096339901276e-5,0.002271269153266876,0.0006985489413602069,2892.0,3470.0,3171.914
1030.0,1092.0,1204.0,1146.034,34.034000000000106,76.77650364213982,0.028286535904825882,0.0012909,0.0045576,0.0015145007999999998,0.00024189920000000013,2.029461431939094e-5,0.00215080720507464,0.0006766540473278586,2960.0,3597.0,3234.541
1050.0,1119.0,1228.0,1171.322,32.32199999999989,76.03464728390334,-0.19966391522822002,0.0013224,0.0051227,0.0015566078999999999,0.00022790789999999994,2.367151696110392e-5,0.0018513841313410025,0.0006729689564055378,3072.0,3633.0,3329.569
1070.0,1148.0,1250.0,1198.063,33.9369999999999,78.17910585695255,-0.28402913754881487,0.0013573,0.0046535,0.0016235315,0.0006551684999999998,2.16241472114902e-5,0.0021599200815392316,0.0006419194917357457,3071.0,3718.0,3428.132
1090.0,1173.0,1282.0,1223.666,33.66599999999994,77.91919070601465,-0.05619937675758502,0.0013859,0.0049044,0.0016655242,0.0012121758,3.0991318280039004e-5,0.0018344574859395846,0.0006478767162253647,3246.0,3811.0,3526.655
1110.0,1191.0,1307.0,1250.514,34.513999999999896,78.15692281931643,0.05808621306409689,0.0014281,0.0051118,0.0017355092,0.0025863908000000003,1.8641856015136067e-5,0.0020191454456235445,0.0006447440322102741,3321.0,3924.0,3622.637
1130.0,1210.0,1326.0,1275.608,35.39200000000005,80.34937923059981,0.0046731184003272475,0.0014864,0.0051246,0.0017694968,0.0026585031999999996,3.843995932233795e-5,0.0019781438776223957,0.0006351092317794269,3365.0,4015.0,3720.476
1150.0,1244.0,1358.0,1300.38,35.38000000000011,80.96979750566321,0.03361213749181369,0.0014995,0.0052069,0.0018114202999999999,0.0026571796999999998,2.35096829426829e-5,0.0021517296925188368,0.0006397292667131311,3523.0,4163.0,3816.765
1170.0,1271.0,1385.0,1327.234,36.233999999999924,82.8302222967301,-0.031553794848578676,0.0015503,0.0052918,0.0018518196999999998,0.0026487803000000004,8.187273833518741e-6,0.0019587998891543376,0.0006066836581525708,3554.0,4211.0,3909.653
1190.0,1297.0,1406.0,1353.588,34.587999999999965,80.1320551731095,-0.08439506739524694,0.0015905,0.0054357,0.0018989624,0.0026133376000000005,1.2787849718278439e-5,0.0015632033140483312,0.0005967002914735161,3701.0,4384.0,4002.959
1210.0,1321.0,1432.0,1378.147,35.853000000000065,80.96260101283038,-0.04491788684378273,0.0016264,0.0054227,0.0019376824000000002,0.0026681176,1.901466284190832e-5,0.0018614555909736274,0.0005727982320842821,3767.0,4444.0,4088.601
1230.0,1354.0,1468.0,1403.754,36.246000000000095,82.55740672650398,-0.18081792043295275,0.0016589,0.0066183,0.0019812093000000004,0.0026555906999999996,2.168441195719448e-5,0.0017069522370659835,0.0005685250090951616,3849.0,4515.0,4184.813
1250.0,1366.0,1492.0,1429.972,36.97199999999998,85.63455843056353,0.015103132732183333,0.0016808,0.0053728,0.0020335061000000005,0.0025697938999999998,2.4898695101473807e-5,0.0019374380435799267,0.000586159778627182,3901.0,4621.0,4278.698
1270.0,1388.0,1515.0,1455.111,35.888999999999896,86.7616341545107,-0.21084527727454772,0.0017377,0.0056313,0.0020711230000000002,0.0025903769999999996,1.942536361331164e-5,0.0015379080258613414,0.0005609719534240073,4042.0,4717.0,4366.213
1290.0,1427.0,1545.0,1481.628,39.37200000000007,85.79273111815891,0.11901559435000264,0.0017789,0.0055132,0.0020904471999999993,0.002533152800000001,3.137479266207526e-5,0.0017477840545776673,0.0005595884637031709,4112.0,4904.0,4459.482
1310.0,1446.0,1572.0,1508.614,38.61400000000003,88.35262455788322,0.07194462923808898,0.0017959,0.0053864,0.0021196493000000005,0.0025273506999999996,2.2725217439300564e-5,0.0016466255140674467,0.0005399478608549023,4197.0,4913.0,4556.438
1330.0,1466.0,1589.0,1533.807,37.192999999999984,86.63614050060656,-0.013836376987372834,0.0018288,0.0113797,0.002200016200000001,0.002510083799999999,1.5080911678572434e-5,0.001663136343021263,0.0005128036244390909,4285.0,5042.0,4640.184
1350.0,1484.0,1627.0,1560.749,39.749000000000024,92.53584636703152,0.029402389552443342,0.0018803,0.0059336,0.0022038221,0.0025862779000000004,1.0301906602038273e-5,0.0017188100320234634,0.0005124227488840133,4351.0,5074.0,4735.225
1370.0,1521.0,1651.0,1585.752,39.75199999999995,90.77273604783326,0.07989894654261276,0.0019046,0.0060772,0.0022420350000000003,0.0025165649999999997,1.2635308261210115e-5,0.0016100259389866547,0.0005303100641379321,4450.0,5162.0,4824.542
1390.0,1552.0,1687.0,1613.207,39.79299999999989,92.51768772803688,-0.1406615954529289,0.0019437,0.0068695,0.0023105162,0.0025053837999999998,2.2508150493663482e-5,0.0016453163365452046,0.0005201834400466835,4475.0,5240.0,4917.846
1410.0,1572.0,1709.0,1638.418,42.58200000000011,95.45227423512053,-0.022455368722710034,0.0019667,0.005638,0.0022979211999999993,0.002506078800000001,2.5474976604357964e-5,0.0014399294604255865,0.0005060204045843012,4625.0,5411.0,5007.915
1430.0,1601.0,1740.0,1665.035,42.03500000000008,94.44042828415432,0.1317046238709385,0.0020188,0.0060171,0.0023679449999999998,0.002546655,2.4723887071281976e-5,0.0014403776851010046,0.0004926169081251466,4708.0,5458.0,5091.74
1450.0,1629.0,1752.0,1689.691,41.69100000000003,95.29465594382222,-0.17122133845286935,0.002054,0.0098008,0.0024308642999999997,0.0025240357000000002,2.4262315343897725e-5,0.0015486258877990679,0.0004672942389636597,4737.0,5527.0,5174.311
1470.0,1658.0,1783.0,1717.003,41.00299999999993,96.22910089915557,-0.35503135640259265,0.0020715,0.0063104,0.0024511102,0.0025764898000000002,1.3229035614109921e-5,0.0015922303884521912,0.0004835689472320299,4890.0,5628.0,5264.039
1490.0,1681.0,1806.0,1743.911,41.08899999999994,95.94888101363021,-0.22093062866457158,0.0021233,0.0073097,0.0024914637999999996,0.0025446362000000004,5.127454502492026e-6,0.0015318390609325248,0.00047910172843843447,4995.0,5736.0,5358.132
1510.0,1702.0,1832.0,1769.101,40.89899999999989,94.16072547629514,-0.11175064014896474,0.0021567,0.0079483,0.0026114794,0.0026087206000000003,1.1556940045606159e-5,0.0014233920394398098,0.0004655275609015044,5071.0,5801.0,5445.037
1530.0,1730.0,1876.0,1796.274,43.27399999999989,98.37324725643538,-0.006021071185359883,0.0022185,0.0082144,0.002622411699999999,0.002527688300000001,1.0614678607280517e-5,0.0013196523570839825,0.00046383203808021505,5163.0,6095.0,5541.955
1550.0,1752.0,1896.0,1816.262,42.738000000000056,97.31565885024598,0.14068323772784552,0.002249,0.0081617,0.002671312,0.002569688,1.0718261466239103e-5,0.0012989571872392676,0.0004533724034417662,5168.0,5993.0,5601.569
