n,minC,maxC,meanC,expC,chbshvC,kurtC,minT,maxT,meanT,expT,minD,maxD,meanD,minCX,maxCX,meanCX
10.0,6.0,21.0,10.154,4.154,9.59884460848376,0.6461596836044814,7.1e-6,4.17e-5,8.1825e-6,9.174999999999993e-7,0.0029772953906015706,0.21312956713738704,0.07049340796523311,2.0,17.0,6.154
30.0,21.0,43.0,30.456,6.5440000000000005,15.864834476696343,0.1708987265217652,2.31e-5,0.0001493,2.66613e-5,4.438699999999999e-6,0.0001934696810417376,0.06974938067445248,0.02377504521646172,7.0,29.0,16.456
50.0,40.0,71.0,53.179,9.179000000000002,20.30644064161742,0.47975957906282973,4.71e-5,0.0055334,6.5633e-5,1.9767000000000002e-5,0.0008129159089502676,0.044019680730149405,0.013806043548564195,22.0,53.0,35.179
70.0,55.0,92.0,73.373,10.373000000000005,24.033623011003463,-0.143391631986987,6.39e-5,0.0036704,7.69627e-5,1.1762699999999995e-5,0.00034171432583964326,0.030276454734807067,0.009809316214061368,23.0,60.0,41.373
90.0,82.0,118.0,98.238,11.762,26.682186174657026,-0.16193785023400054,9.29e-5,0.0032196,0.00010664790000000002,1.2747900000000014e-5,0.00027836750496341083,0.023047623723446896,0.007728893229104549,50.0,86.0,66.238
110.0,102.0,143.0,118.444,12.555999999999997,29.701506013322952,-0.1533490256683998,0.0001055,0.0032686,0.0001251495,1.7949499999999995e-5,0.00013826808839328335,0.019173914092544316,0.006280899024809578,56.0,97.0,72.444
130.0,113.0,163.0,137.418,13.581999999999994,30.811927802312123,0.25534746957637067,0.0001193,0.0036973,0.0001443739,2.1373899999999995e-5,0.0002280522389411522,0.015525742119885475,0.005250535258239012,49.0,99.0,73.418
150.0,142.0,192.0,162.628,13.627999999999986,32.06837539852465,0.19094536862845946,0.0001534,0.0034233,0.00018081140000000004,2.6311400000000054e-5,0.0001982837868803819,0.013640815475699198,0.004677229176230355,78.0,128.0,98.628
170.0,163.0,215.0,187.507,15.492999999999995,36.091295371621136,-0.09350984584441147,0.0001822,0.0036501,0.00022148880000000002,3.5488800000000025e-5,0.00018915584870916825,0.012459541686348627,0.004046729501240055,99.0,151.0,123.507
190.0,189.0,240.0,212.658,16.657999999999987,37.138120038041244,0.12789606275876197,0.0002104,0.0033587,0.00024353920000000001,3.14608e-5,0.00021663118302364486,0.010026486823764206,0.0035973289035450815,125.0,176.0,148.658
210.0,206.0,261.0,232.306,16.69399999999999,38.28253952956665,0.13517378923499201,0.0002271,0.003969,0.0002737579999999999,4.5042000000000075e-5,9.651340200371409e-5,0.009400665913027986,0.003434700651414726,124.0,179.0,150.306
230.0,220.0,281.0,250.955,16.044999999999987,39.37677018281248,0.05530302808713561,0.0002429,0.0034815,0.000287023,4.1523000000000016e-5,8.442509422624538e-5,0.00887856020081484,0.0029644523839669123,118.0,179.0,148.955
250.0,244.0,299.0,269.07,18.069999999999993,41.674918101884714,-0.11864725993452163,0.0002567,0.0031609,0.00030255780000000007,3.905780000000006e-5,9.269297003951154e-5,0.008690923033579248,0.002751440572727382,122.0,177.0,147.07
270.0,267.0,323.0,293.042,18.958000000000027,42.60398830884052,-0.12112712772360634,0.0002883,0.0037781,0.00033831290000000005,4.7512900000000024e-5,4.837557684092009e-5,0.007128434599547358,0.002550764405981874,139.0,195.0,165.042
290.0,292.0,358.0,318.957,18.043000000000006,42.091741882876924,0.20901149190266555,0.0003196,0.0039885,0.00038363010000000007,5.713010000000005e-5,7.336827208416968e-5,0.007332481565477016,0.0024389787274282284,164.0,230.0,190.957
310.0,317.0,382.0,343.6,19.600000000000023,45.006950859013166,0.3597271117594065,0.0003464,0.0042666,0.0004230781,7.007809999999998e-5,7.863821820132032e-5,0.007993598276789847,0.0022513708582727965,189.0,254.0,215.6
330.0,331.0,404.0,369.287,20.713000000000022,47.591570446640844,0.0904597274531036,0.000381,0.0036397,0.00044933960000000003,6.233960000000006e-5,3.762647758756982e-5,0.007597952475623962,0.002038139675097423,203.0,276.0,241.287
350.0,358.0,431.0,395.544,21.456000000000017,49.1493330263691,0.05908770455784529,0.0004098,0.0035195,0.00048688539999999997,7.08854e-5,6.216688347730945e-5,0.005922472782647947,0.0019560388672822835,230.0,303.0,267.544
370.0,382.0,458.0,420.294,21.706000000000017,49.38735050992703,0.0370838109980931,0.0004374,0.0032207,0.0005042435000000001,6.08435000000001e-5,7.87058695628551e-6,0.0052656645506397705,0.001842671392038528,254.0,330.0,292.294
390.0,408.0,484.0,443.872,22.872000000000014,51.48595073535228,0.1361670209382404,0.0004671,0.0041035,0.0005450905,7.219049999999998e-5,4.88146992325888e-5,0.005537772673753268,0.0018275126381437096,274.0,350.0,309.872
410.0,428.0,500.0,464.069,22.930999999999983,53.4170212400332,-0.13470549225020978,0.000495,0.0052121,0.0005855018,8.85018e-5,3.341890423082699e-5,0.0056414361282012306,0.0016812492825211817,274.0,346.0,310.069
430.0,449.0,519.0,482.838,23.161999999999978,52.635782939419116,-0.08359663121369332,0.0005093,0.0044558,0.0006006134,8.351339999999993e-5,3.873689637783125e-5,0.004681185933774575,0.001623389062790753,275.0,345.0,308.838
450.0,458.0,539.0,501.199,23.800999999999988,53.19076270591762,0.1050819604434845,0.0005233,0.0038249,0.0005999435999999999,7.164359999999991e-5,9.819716611189382e-5,0.004329864454013399,0.0015579383799301314,264.0,345.0,307.199
470.0,485.0,559.0,520.548,25.451999999999998,57.17501992044169,-0.07625243607685839,0.0005397,0.0036438,0.0006151002,6.999980000000001e-5,6.614360437340228e-5,0.004430322098078439,0.0014514103973063744,271.0,345.0,306.548
490.0,490.0,583.0,540.389,24.38900000000001,56.02439033414207,0.11007286803787242,0.0005438,0.0037249,0.0006480182000000002,9.161820000000019e-5,7.491670234626551e-5,0.003806404476656923,0.001394894540503639,256.0,349.0,306.389
510.0,518.0,598.0,559.473,26.527000000000044,58.16707684617501,0.00034483040400967724,0.0005599,0.0042852,0.0006517441000000001,8.274410000000019e-5,1.108566929388065e-5,0.004331364824296065,0.0013784070749541478,264.0,344.0,305.473
530.0,543.0,640.0,584.37,25.370000000000005,59.2159482616679,0.09759702327856612,0.000606,0.0053091,0.0007293483000000001,0.00011464830000000007,3.996214833495684e-5,0.003768544509366708,0.0012950072105551978,287.0,384.0,328.37
550.0,571.0,659.0,609.484,25.484000000000037,58.9035186088616,0.2781561531509409,0.0006553,0.0044381,0.000771354,0.00010364599999999999,2.5466450187219944e-5,0.003798741707049,0.0012625871744962108,315.0,403.0,353.484
570.0,596.0,691.0,634.589,26.589000000000055,60.70722318593518,0.36951045987163633,0.0006806,0.0041105,0.0008034943000000001,0.00010809430000000009,2.989227697822523e-5,0.003682426920536132,0.0011883120155165316,340.0,435.0,378.589
590.0,618.0,698.0,660.152,25.847999999999956,60.269148743700434,-0.17421259481851914,0.0007135,0.0045591,0.0008449452000000002,0.00011424520000000019,6.636823810854757e-5,0.0033727772944412726,0.0011909103028723258,362.0,442.0,404.152
610.0,639.0,735.0,686.612,27.388000000000034,63.871658102077696,0.05595052189915162,0.0007527,0.0063527,0.0008937318000000001,0.00012823180000000008,4.118757847017173e-5,0.0030130672817967547,0.0011294704619714934,383.0,479.0,430.612
630.0,655.0,759.0,711.064,28.063999999999965,65.59283878976805,-0.0411125894716009,0.0007761,0.0044838,0.0009181873999999999,0.00011978739999999992,4.56579515611376e-6,0.0036125738961047117,0.0010816190564363766,399.0,503.0,455.064
650.0,695.0,785.0,736.65,28.649999999999977,64.89685355702233,0.36256701889958487,0.0008204,0.0045954,0.0009549001,0.00012020010000000003,2.1827135105361377e-5,0.0034237580878120058,0.0010359134986615093,439.0,529.0,480.65
670.0,717.0,817.0,763.071,31.071000000000026,68.763126365426,0.21412724812635586,0.0008412,0.0045377,0.0009869674,0.0001290674,3.464163967504546e-5,0.0034385028598050683,0.0010827065589697489,461.0,561.0,507.071
690.0,741.0,849.0,788.326,28.673999999999978,66.84536470678269,0.14278162703107045,0.0008789,0.0047411,0.0010292613,0.00012926129999999997,1.1710536623638496e-5,0.00316223047701375,0.001007876063184138,485.0,593.0,532.326
710.0,762.0,862.0,813.816,29.81600000000003,68.1175666247913,0.1016382940881333,0.0009106,0.0041096,0.0010496761999999999,0.00012277619999999986,1.4924756957013482e-5,0.0025685410178846444,0.0009464240618635948,506.0,606.0,557.816
730.0,794.0,898.0,839.643,30.35699999999997,66.90491228069344,0.16996034782195935,0.0009683,0.0087771,0.0011441812,0.0005438188,3.831708909549295e-5,0.002922733467124119,0.000940910850264699,538.0,642.0,583.643
750.0,815.0,916.0,866.178,32.822,71.14596311856398,0.12025802696661181,0.0009961,0.0039619,0.0011270841,0.00012388409999999992,7.1140708901096e-6,0.002639469473724258,0.0009355965788752898,559.0,660.0,610.178
770.0,834.0,940.0,890.676,31.323999999999955,72.02949901761589,0.009162522605569823,0.0010279,0.0040778,0.0011559895,0.00012238950000000005,1.1059679892140727e-5,0.0026935408755985463,0.0008891527049132628,576.0,682.0,632.676
790.0,862.0,960.0,911.206,30.206000000000017,70.95368704800129,-0.29458350972329006,0.0010634,0.0045697,0.0012088768,0.00013847680000000006,1.185886386654063e-5,0.0025744775414278938,0.0008811417715837197,584.0,682.0,633.206
810.0,887.0,981.0,929.95,29.950000000000045,67.76445987405214,-0.15878804791698453,0.0010795,0.004832,0.0012210985999999999,0.00013559859999999978,8.777790333207874e-6,0.0023776368870590363,0.0008586163877558852,589.0,683.0,631.95
830.0,903.0,992.0,949.47,32.47000000000003,72.16279837609868,-0.25548080172689325,0.0010938,0.0055688,0.0012560667999999997,0.00015796679999999967,1.3916646865484607e-5,0.0024834226429159352,0.0008342708301469211,585.0,674.0,631.47
850.0,916.0,1023.0,968.777,32.777000000000044,75.9647026983984,-0.17282159640233452,0.0011112,0.0071378,0.0012762935000000001,0.00015689350000000013,4.821388190072537e-5,0.0027511490618725236,0.0008019492629993596,578.0,685.0,630.777
870.0,944.0,1039.0,988.494,32.49400000000003,71.1515412469879,0.1505044644191913,0.0011376,0.0047054,0.0013235418,0.00018204180000000003,1.3037299645620681e-5,0.0022143069561510755,0.0008010524502832302,586.0,681.0,630.494
890.0,957.0,1059.0,1005.995,32.995000000000005,73.23375371154123,-0.1486235835500409,0.0011548,0.0051185,0.0013413998000000001,0.00018119980000000022,3.483387015953031e-5,0.0024293262494911104,0.0007762430123831798,579.0,681.0,627.995
