n,minC,maxC,meanC,expC,chbshvC,kurtC,minT,maxT,meanT,expT,minD,maxD,meanD,minCX,maxCX,meanCX
10.0,6.0,19.0,10.245,4.244999999999999,10.166752818027142,0.23513913577069312,6.8e-6,7.14e-5,8.404699999999998e-6,1.195300000000002e-6,0.0026239536330147327,0.21591753396268476,0.07285181804349367,2.0,27.0,13.546
30.0,21.0,46.0,30.41,7.41,16.301648497736164,0.7840493228596737,2.18e-5,0.0050353,3.066159999999999e-5,8.76159999999999e-6,0.0006290463860171547,0.0633732810620569,0.022931545566654932,23.0,80.0,49.298
50.0,41.0,71.0,53.437,8.563000000000002,20.048005949284395,0.06657913678352045,4.66e-5,0.0075416,5.9937400000000007e-5,1.2337400000000008e-5,0.00039617579672845694,0.04478146657806896,0.014075994010982825,68.0,143.0,102.052
70.0,57.0,91.0,73.871,10.870999999999995,23.977115799905587,-0.0421169795776124,6.37e-5,0.0001487,7.1969e-5,1.9631000000000002e-5,0.00042258240167333556,0.0279927095256787,0.00975711353638791,99.0,191.0,143.235
90.0,81.0,121.0,97.94,11.060000000000002,27.061047657108542,0.10490482756770403,8.91e-5,0.0066103,0.0001138426,2.3642600000000003e-5,0.00023242754523505513,0.027639532791084557,0.007523210846837534,151.0,273.0,207.421
110.0,98.0,135.0,118.454,12.453999999999994,28.449376918432627,-0.2537946260044448,0.0001064,0.0068179,0.0001350161,2.668390000000001e-5,0.0004441302315266184,0.01754612876195686,0.006232091021339429,182.0,323.0,251.662
130.0,113.0,160.0,137.497,13.497000000000014,30.5858679019464,0.14502977226951064,0.0001203,0.0064776,0.0001490269,2.987310000000001e-5,0.00010621063212276171,0.01599430801807418,0.0055078235613220715,223.0,366.0,289.299
150.0,140.0,189.0,162.753,14.247000000000014,33.20033255981153,0.0701492214115369,0.0001532,0.0060959,0.00019088399999999997,3.478399999999997e-5,0.00026065837463125596,0.015269469211041905,0.004712745018225914,271.0,455.0,364.693
170.0,159.0,212.0,188.137,17.137,36.25188021080863,0.1750948219386359,0.0001824,0.0071989,0.00022945539999999994,4.4255399999999935e-5,0.00010798452510022558,0.013682082020130928,0.004069740955184361,332.0,530.0,436.652
190.0,188.0,244.0,212.72,16.72,38.926434042527795,0.07744616740781884,0.0002194,0.0069339,0.0002711696000000001,4.796960000000007e-5,0.00010437468216066412,0.01062194753318092,0.0036829045215920546,421.0,603.0,506.65
210.0,209.0,266.0,232.483,16.483000000000004,38.580340364785044,0.0679119160006465,0.000229,0.007815,0.0002883539,5.435390000000002e-5,2.912610654267189e-5,0.009336014830520982,0.0032672422476375446,450.0,655.0,549.789
230.0,223.0,282.0,250.79,17.210000000000008,39.87214300470678,0.09530223592057618,0.0002421,0.0070834,0.0003073055,6.240550000000003e-5,9.515970273144403e-5,0.009277010369595863,0.0030468716929539594,484.0,695.0,590.952
250.0,243.0,302.0,269.836,18.836000000000013,41.872370071150435,0.11589689219695609,0.0002584,0.0071138,0.000326917,6.4717e-5,5.28041679868974e-5,0.009519639198193782,0.002805652568069814,511.0,744.0,630.615
270.0,266.0,328.0,293.125,19.125,43.329723804392806,0.030468742285703065,0.0002887,0.00606,0.0003441339000000001,5.233390000000009e-5,7.241524614395944e-5,0.0067970330360302795,0.002547071551359665,572.0,841.0,698.741
290.0,290.0,351.0,317.828,19.827999999999975,42.76443752836129,0.044170161838463784,0.0003231,0.0062093,0.0003961002,6.970019999999997e-5,1.742114387552896e-5,0.006992469655732318,0.002381681354635462,659.0,914.0,778.698
310.0,307.0,379.0,344.159,20.158999999999992,46.19099466333225,0.06376895501304913,0.0003533,0.0097977,0.00042940310000000006,7.210310000000004e-5,8.845315509151099e-5,0.006060838336922597,0.0022775790568344318,733.0,1000.0,862.403
330.0,337.0,405.0,369.442,20.442000000000007,47.46731365756722,0.2053575883709864,0.0003868,0.0061866,0.0004692054,7.81054e-5,1.0749325212845511e-5,0.00609980844546749,0.002128039124224355,791.0,1108.0,941.701
350.0,362.0,426.0,395.104,21.103999999999985,46.31726426473145,0.015902855785865366,0.0004167,0.007574,0.0005136002,9.08002e-5,2.4288286554341767e-5,0.006513560771853629,0.0019637000308857506,886.0,1162.0,1017.82
370.0,377.0,457.0,420.315,21.314999999999998,49.838934774124326,0.11132563742028312,0.0004428,0.0077379,0.0005506349,9.863490000000004e-5,4.159761695620588e-5,0.00639257238417746,0.001893245787801172,934.0,1258.0,1090.564
390.0,409.0,483.0,443.748,23.25200000000001,52.921173178327884,-0.19839560099863807,0.0004678,0.0065606,0.0005735878,0.00010118780000000003,3.4835912056953495e-5,0.005357199898344607,0.001821669485383818,1019.0,1301.0,1161.428
